City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,jawf al maqbabah,13.8378,45.8349,23.37,55,39,1.1,YE,1699938216
232,pontianak,-0.0333,109.3333,32.99,59,75,3.09,ID,1699938216
233,berbera,10.4396,45.0143,27.59,68,64,3.35,SO,1699937991
234,al jawf,29.5,38.75,19.84,58,0,2.46,SA,1699938148
235,jiuquan,39.7432,98.5174,5.8,26,65,4.15,CN,1699938217
236,guymon,36.6828,-101.4816,7.0,70,0,4.63,US,1699938217
237,morozovsk,48.3539,41.8261,6.47,91,100,1.74,RU,1699938217
238,international falls,48.6011,-93.411,3.35,73,100,2.57,US,1699938217
239,nemuro,43.3236,145.575,5.09,50,18,8.88,JP,1699938217
240,bonthe,7.5264,-12.505,25.32,89,74,1.66,SL,1699938217
241,katiola,8.1333,-5.1,23.35,77,27,0.4,CI,1699938218
242,labrador city,52.9463,-66.9114,-10.05,85,100,2.06,CA,1699938028
243,yigo village,13.5361,144.8886,29.3,79,40,10.8,GU,1699938218
244,aripuana,-9.1667,-60.6333,22.8,89,65,0.81,BR,1699938218
245,opuwo,-18.0607,13.84,25.11,28,65,1.43,NA,1699938218
246,lincoln city,44.9582,-124.0179,9.89,83,100,3.13,US,1699938218
247,sretensk,52.2453,117.7093,-4.54,59,48,1.42,RU,1699938218
248,santa terezinha,-29.9002,-50.0904,20.21,97,100,0.86,BR,1699938219
249,touros,-5.1989,-35.4608,26.25,79,81,5.13,BR,1699938219
250,isla del bosque,22.7333,-105.85,25.42,76,0,2.33,MX,1699938219
251,colonia,50.9333,6.95,12.85,74,75,6.69,DE,1699938124
252,zajecar,43.9036,22.2641,7.47,74,29,2.69,RS,1699938219
253,belyy yar,53.6039,91.3903,2.94,81,0,4.0,RU,1699938219
254,ndele,8.4109,20.6473,22.94,84,84,0.22,CF,1699938219
255,vila franca do campo,37.7167,-25.4333,18.23,99,82,1.96,PT,1699938220
256,gao,16.6362,1.637,21.62,17,0,5.65,ML,1699938220
257,anadyr,64.75,177.4833,-14.72,71,4,11.62,RU,1699938220
258,rio grande,-32.035,-52.0986,18.3,96,100,2.94,BR,1699938220
259,sao jose da coroa grande,-8.8978,-35.1478,24.56,87,80,1.65,BR,1699938220
260,nueva gerona,21.8833,-82.8,25.76,77,97,7.36,CU,1699938221
261,loanda,-8.8368,13.2343,26.0,89,75,3.6,AO,1699938221
262,bogale,16.2833,95.4,30.73,66,98,4.92,MM,1699938221
263,richards bay,-28.783,32.0377,17.96,75,100,4.74,ZA,1699938221
264,talnakh,69.4865,88.3972,-22.18,94,42,1.82,RU,1699938221
265,hermansverk,61.1846,6.8502,1.25,74,100,3.09,NO,1699938222
266,inari,68.906,27.0288,-20.89,97,26,1.24,FI,1699938201
267,grayslake,42.3445,-88.0417,7.42,57,0,1.79,US,1699938106
268,el calafate,-50.3408,-72.2768,2.32,67,78,3.78,AR,1699938222
269,melgar,4.2048,-74.6407,23.38,89,80,2.12,CO,1699938222
270,ouesso,1.6136,16.0517,21.83,98,99,0.49,CG,1699938222
271,salalah,17.0151,54.0924,27.6,64,84,0.92,OM,1699938222
272,semey,50.4111,80.2275,4.12,87,100,6.0,KZ,1699938223
273,zhangjiagang,31.865,120.5389,12.82,38,0,2.6,CN,1699938223
274,tanjung pandan,-2.75,107.65,31.54,59,53,3.14,ID,1699938223
275,velikiy ustyug,60.7644,46.3106,2.44,98,100,4.92,RU,1699938223
276,nanchang,28.6833,115.8833,14.65,42,0,1.26,CN,1699938223
277,kiffa,16.6166,-11.4045,24.35,13,28,4.43,MR,1699938155
278,walvis bay,-22.9575,14.5053,15.53,88,0,0.0,NA,1699938224
279,qo'rg'ontepa,40.734,72.7628,11.23,57,0,1.0,UZ,1699938224
280,glazov,58.1394,52.6584,3.36,91,100,5.63,RU,1699938224
281,alaghsas,17.0187,8.0168,22.38,16,2,4.85,NE,1699938224
282,vernal,40.4555,-109.5287,3.14,40,0,1.54,US,1699938224
283,ndago,-4.6,34.35,20.32,74,62,1.87,TZ,1699938224
284,kruisfontein,-34.0033,24.7314,14.8,70,29,4.39,ZA,1699938225
285,kavieng,-2.5744,150.7967,28.88,67,48,2.15,PG,1699938225
286,kobelyaky,49.1489,34.1965,3.3,83,23,2.48,UA,1699938225
287,yamba,-5.9,22.3,21.5,95,100,2.01,CD,1699938225
288,caleta de carquin,-11.0925,-77.6267,19.07,90,32,5.16,PE,1699938225
289,hadibu,12.65,54.0333,27.41,80,74,5.07,YE,1699938225
290,isabela,6.7085,121.9711,32.03,74,52,0.99,PH,1699938225
291,rabo de peixe,37.8,-25.5833,17.73,99,40,1.79,PT,1699938226
292,anaconda,46.1285,-112.9423,-0.45,59,10,2.4,US,1699938226
293,tregunc,47.85,-3.85,14.92,87,100,9.17,FR,1699938226
294,sake,-1.5736,29.045,18.19,93,79,0.07,CD,1699938226
295,kiunga,-6.1219,141.2906,31.51,57,80,1.29,PG,1699938227
296,ha'il,27.5219,41.6907,20.01,52,75,2.06,SA,1699938227
297,megion,61.0296,76.1136,-7.99,87,100,4.76,RU,1699938227
298,aridaia,40.9731,22.0564,10.08,69,100,0.77,GR,1699938227
299,quellon,-43.1167,-73.6167,3.97,80,97,3.44,CL,1699938146
300,malanje,-9.5402,16.341,17.99,97,95,0.59,AO,1699938227
301,camacupa,-12.0167,17.4833,18.48,83,92,0.71,AO,1699938228
